Image Name,PSNR (dB),SSIM
im_0011_s100_a05,7.7732,0.4482
im_0011_s100_a06,6.3587,0.4090
im_0011_s80_a04,13.3225,0.5533
im_0011_s80_a05,7.7096,0.4398
im_0011_s80_a06,13.8116,0.5276
im_0011_s85_a04,6.0839,0.4376
im_0011_s85_a05,10.1107,0.5390
im_0011_s85_a06,7.5775,0.4618
im_0011_s90_a04,13.1915,0.4640
im_0011_s90_a05,13.9918,0.5702
im_0011_s90_a06,14.1343,0.5464
im_0011_s95_a04,12.3119,0.5278
im_0011_s95_a05,12.1984,0.5628
im_0011_s95_a06,8.9595,0.4481
im_0012_s100_a04,19.2408,0.6110
im_0012_s100_a05,14.1678,0.5907
im_0012_s100_a06,11.9050,0.4861
im_0012_s80_a04,15.1219,0.5067
im_0012_s80_a05,12.8317,0.5669
im_0012_s80_a06,15.8472,0.6001
im_0012_s85_a04,18.8700,0.6628
im_0012_s85_a05,16.0744,0.6590
im_0012_s85_a06,18.2057,0.6120
im_0012_s90_a04,10.8783,0.5361
im_0012_s90_a05,19.0516,0.5327
im_0012_s90_a06,19.1960,0.6532
im_0012_s95_a04,14.0170,0.6456
im_0012_s95_a05,16.4708,0.6195
im_0012_s95_a06,12.1709,0.5305
im_0013_s100_a04,16.7598,0.5267
im_0013_s100_a05,15.7466,0.5754
im_0013_s100_a06,15.0265,0.5021
im_0013_s80_a04,17.0303,0.6270
im_0013_s80_a05,17.6950,0.6945
im_0013_s80_a06,15.8140,0.5644
im_0013_s85_a04,17.4719,0.6771
im_0013_s85_a05,17.4615,0.6145
im_0013_s85_a06,12.6852,0.5766
im_0013_s90_a04,16.1664,0.5011
im_0013_s90_a05,13.8927,0.5543
im_0013_s90_a06,15.9738,0.5019
im_0013_s95_a04,16.0040,0.5880
im_0013_s95_a05,16.8883,0.5241
im_0013_s95_a06,11.7684,0.5225
im_0014_s100_a04,19.8172,0.7154
im_0014_s100_a05,14.1164,0.5926
im_0014_s100_a06,13.8936,0.5795
im_0014_s80_a04,14.3124,0.6090
