Image Name,PSNR (dB),SSIM
0000_00,31.4330,0.8748
0001_00,31.3679,0.9051
0002_00,30.2382,0.9038
0003_00,30.3046,0.9114
0004_00,30.7205,0.8805
0005_00,28.5877,0.8590
0006_00,25.3383,0.6808
0007_00,23.8420,0.9055
0008_00,28.9382,0.8913
0009_00,29.7961,0.8761
0010_00,28.5267,0.8356
0011_00,29.1303,0.8348
0012_00,29.6607,0.8486
0013_00,28.8775,0.8345
0014_00,31.5744,0.9032
0015_00,28.9478,0.8871
0016_00,25.8869,0.8837
0017_00,26.8646,0.8769
0018_00,29.2226,0.8726
0019_00,25.7555,0.8872
0020_00,26.0321,0.7984
0021_00,26.9141,0.8937
0022_00,28.1457,0.8558
0023_00,27.5765,0.8264
0024_00,29.1950,0.8429
0025_00,29.3760,0.7954
0026_00,28.1567,0.8491
0027_00,30.6157,0.9060
0028_00,29.7789,0.8761
0029_00,30.4423,0.8619
0030_00,26.4260,0.8711
0031_00,28.3168,0.8558
0032_00,28.8765,0.8912
0033_00,27.3709,0.8490
0034_00,25.8567,0.8001
0035_00,27.8770,0.8336
0036_00,27.1614,0.7793
0037_00,28.6973,0.8584
0038_00,29.1580,0.8583
0039_00,28.0026,0.8619
0040_00,27.7627,0.8551
0041_00,30.2619,0.8562
0042_00,32.1468,0.8980
0043_00,26.0203,0.6812
0044_00,27.7171,0.7870
0045_00,29.7429,0.8949
0046_00,29.8831,0.8956
0047_00,31.0996,0.9049
0048_00,28.3636,0.9006
0049_00,27.9707,0.8663

Average,28.5992,0.8571
