Image Name,PSNR (dB),SSIM
Gurutto_0-0_Gurutto_0-0-Webcam-R-081,18.0286,0.2880
Gurutto_0-0_Gurutto_0-0-Webcam-R-082,18.0074,0.2868
Gurutto_0-0_Gurutto_0-0-Webcam-R-083,18.0083,0.2860
Gurutto_0-0_Gurutto_0-0-Webcam-R-084,18.0082,0.2859
Gurutto_0-0_Gurutto_0-0-Webcam-R-085,18.0120,0.2873
Gurutto_0-0_Gurutto_0-0-Webcam-R-086,17.9678,0.2843
Gurutto_0-0_Gurutto_0-0-Webcam-R-087,17.9576,0.2839
Gurutto_0-0_Gurutto_0-0-Webcam-R-088,17.9786,0.2848
Gurutto_0-0_Gurutto_0-0-Webcam-R-089,17.9969,0.2870
Gurutto_0-0_Gurutto_0-0-Webcam-R-090,17.9969,0.2870
Gurutto_0-0_Gurutto_0-0-Webcam-R-091,17.9724,0.2842
Gurutto_0-0_Gurutto_0-0-Webcam-R-092,17.9733,0.2878
Gurutto_0-0_Gurutto_0-0-Webcam-R-093,17.9773,0.2867
Gurutto_0-0_Gurutto_0-0-Webcam-R-094,18.0157,0.2900
Gurutto_0-0_Gurutto_0-0-Webcam-R-095,18.0006,0.2853
Gurutto_0-0_Gurutto_0-0-Webcam-R-096,18.0006,0.2853
Gurutto_0-0_Gurutto_0-0-Webcam-R-097,17.9939,0.2865
Gurutto_0-0_Gurutto_0-0-Webcam-R-098,18.0189,0.2870
Gurutto_0-0_Gurutto_0-0-Webcam-R-099,18.0129,0.2910
Gurutto_0-0_Gurutto_0-0-Webcam-R-100,18.0346,0.2900
Gurutto_0-0_Gurutto_0-0-Webcam-R-101,18.0538,0.2892
Gurutto_0-0_Gurutto_0-0-Webcam-R-102,18.0524,0.2889
Gurutto_0-0_Gurutto_0-0-Webcam-R-103,18.0470,0.2916
Gurutto_0-0_Gurutto_0-0-Webcam-R-104,18.0315,0.2874
Gurutto_0-0_Gurutto_0-0-Webcam-R-105,18.0346,0.2889
Gurutto_0-0_Gurutto_0-0-Webcam-R-106,18.0484,0.2908
Gurutto_0-0_Gurutto_0-0-Webcam-R-107,18.0428,0.2905
Gurutto_0-0_Gurutto_0-0-Webcam-R-108,18.0417,0.2903
Gurutto_0-0_Gurutto_0-0-Webcam-R-109,18.0154,0.2883
Gurutto_0-0_Gurutto_0-0-Webcam-R-110,17.9802,0.2893
Gurutto_0-0_Gurutto_0-0-Webcam-R-111,17.9916,0.2870
Gurutto_0-0_Gurutto_0-0-Webcam-R-112,17.9929,0.2868
Gurutto_0-0_Gurutto_0-0-Webcam-R-113,18.0150,0.2863
Gurutto_0-0_Gurutto_0-0-Webcam-R-114,18.0145,0.2863
Gurutto_0-0_Gurutto_0-0-Webcam-R-115,17.9923,0.2826
Gurutto_0-0_Gurutto_0-0-Webcam-R-116,17.9926,0.2822
Gurutto_0-0_Gurutto_0-0-Webcam-R-117,17.9980,0.2810
Gurutto_0-0_Gurutto_0-0-Webcam-R-118,17.9726,0.2802
Gurutto_0-0_Gurutto_0-0-Webcam-R-119,17.9932,0.2806
Gurutto_0-0_Gurutto_0-0-Webcam-R-120,17.9948,0.2807
Gurutto_0-0_Gurutto_0-0-Webcam-R-121,18.0251,0.2815
Gurutto_0-0_Gurutto_0-0-Webcam-R-122,18.0035,0.2780
Gurutto_0-0_Gurutto_0-0-Webcam-R-123,17.9944,0.2801
Gurutto_0-0_Gurutto_0-0-Webcam-R-124,18.0031,0.2841
Gurutto_0-0_Gurutto_0-0-Webcam-R-125,17.9667,0.2838
Gurutto_0-0_Gurutto_0-0-Webcam-R-126,17.9667,0.2838
Gurutto_0-0_Gurutto_0-0-Webcam-R-127,17.9425,0.2817
Gurutto_0-0_Gurutto_0-0-Webcam-R-128,17.9818,0.2851
Gurutto_0-0_Gurutto_0-0-Webcam-R-129,18.0016,0.2850
Gurutto_0-0_Gurutto_0-0-Webcam-R-130,17.9902,0.2843
Gurutto_0-0_Gurutto_0-0-Webcam-R-131,18.0063,0.2854
Gurutto_0-0_Gurutto_0-0-Webcam-R-132,18.0063,0.2854
Gurutto_0-0_Gurutto_0-0-Webcam-R-133,18.0071,0.2861
Gurutto_0-0_Gurutto_0-0-Webcam-R-134,18.0307,0.2847
Gurutto_0-0_Gurutto_0-0-Webcam-R-135,18.0333,0.2853
Gurutto_0-0_Gurutto_0-0-Webcam-R-136,18.0291,0.2855
Gurutto_0-0_Gurutto_0-0-Webcam-R-137,18.0090,0.2872
Gurutto_0-0_Gurutto_0-0-Webcam-R-138,18.0090,0.2872
Gurutto_0-0_Gurutto_0-0-Webcam-R-139,18.0241,0.2880
Gurutto_0-0_Gurutto_0-0-Webcam-R-140,17.9939,0.2858
Gurutto_0-0_Gurutto_0-0-Webcam-R-141,18.0119,0.2899
Gurutto_0-0_Gurutto_0-0-Webcam-R-142,18.0167,0.2893
Gurutto_0-0_Gurutto_0-0-Webcam-R-143,18.0083,0.2902
Gurutto_0-0_Gurutto_0-0-Webcam-R-144,18.0083,0.2902
Gurutto_0-0_Gurutto_0-0-Webcam-R-145,18.0407,0.2914
Gurutto_0-0_Gurutto_0-0-Webcam-R-146,18.0142,0.2899
Gurutto_0-0_Gurutto_0-0-Webcam-R-147,18.0321,0.2928
Gurutto_0-0_Gurutto_0-0-Webcam-R-148,18.0113,0.2906
Gurutto_0-0_Gurutto_0-0-Webcam-R-149,18.0168,0.2886
Gurutto_0-0_Gurutto_0-0-Webcam-R-150,18.0615,0.2764
Gurutto_0-0_Gurutto_0-0-Webcam-R-151,18.1191,0.2846
Gurutto_0-0_Gurutto_0-0-Webcam-R-152,18.1146,0.2848
Gurutto_0-0_Gurutto_0-0-Webcam-R-153,18.1243,0.2877
Gurutto_0-0_Gurutto_0-0-Webcam-R-154,18.1160,0.2871
Gurutto_0-0_Gurutto_0-0-Webcam-R-155,18.1270,0.2890
Gurutto_0-0_Gurutto_0-0-Webcam-R-156,18.1267,0.2890
Gurutto_0-0_Gurutto_0-0-Webcam-R-157,18.0971,0.2869
Gurutto_0-0_Gurutto_0-0-Webcam-R-158,18.0883,0.2886
Gurutto_0-0_Gurutto_0-0-Webcam-R-159,18.0375,0.2880
Gurutto_0-0_Gurutto_0-0-Webcam-R-160,18.0869,0.2880
Gurutto_0-0_Gurutto_0-0-Webcam-R-161,18.0651,0.2868
Gurutto_0-0_Gurutto_0-0-Webcam-R-162,18.0651,0.2868
Gurutto_0-0_Gurutto_0-0-Webcam-R-163,18.0985,0.2878
Gurutto_0-0_Gurutto_0-0-Webcam-R-164,18.0810,0.2863
Gurutto_0-0_Gurutto_0-0-Webcam-R-165,18.1081,0.2866
Gurutto_0-0_Gurutto_0-0-Webcam-R-166,18.1003,0.2882
Gurutto_0-0_Gurutto_0-0-Webcam-R-167,18.0586,0.2876
Gurutto_0-0_Gurutto_0-0-Webcam-R-168,18.0583,0.2877
Gurutto_0-0_Gurutto_0-0-Webcam-R-169,18.0851,0.2891
Gurutto_0-0_Gurutto_0-0-Webcam-R-170,18.0871,0.2925
Gurutto_0-0_Gurutto_0-0-Webcam-R-171,18.1018,0.2912
Gurutto_0-0_Gurutto_0-0-Webcam-R-172,18.1001,0.2901
Gurutto_0-0_Gurutto_0-0-Webcam-R-173,18.0946,0.2880
Gurutto_0-0_Gurutto_0-0-Webcam-R-174,18.0959,0.2881
Gurutto_0-0_Gurutto_0-0-Webcam-R-175,18.0466,0.2860
Gurutto_0-0_Gurutto_0-0-Webcam-R-176,18.0692,0.2842
Gurutto_0-0_Gurutto_0-0-Webcam-R-177,18.0796,0.2829
Gurutto_0-0_Gurutto_0-0-Webcam-R-178,18.0781,0.2827
Gurutto_0-0_Gurutto_0-0-Webcam-R-179,18.0795,0.2836
Gurutto_0-0_Gurutto_0-0-Webcam-R-180,18.0797,0.2836
Gurutto_0-0_Gurutto_0-0-Webcam-R-181,18.0709,0.2843
Gurutto_0-0_Gurutto_0-0-Webcam-R-182,18.0802,0.2824
Gurutto_0-0_Gurutto_0-0-Webcam-R-183,18.0784,0.2840
Gurutto_0-0_Gurutto_0-0-Webcam-R-184,18.0961,0.2868
Gurutto_0-0_Gurutto_0-0-Webcam-R-185,18.1147,0.2873
Gurutto_0-0_Gurutto_0-0-Webcam-R-186,18.1153,0.2874
Gurutto_0-0_Gurutto_0-0-Webcam-R-187,18.0915,0.2852
Gurutto_0-0_Gurutto_0-0-Webcam-R-188,18.1129,0.2851
Gurutto_0-0_Gurutto_0-0-Webcam-R-189,18.1484,0.2897
Gurutto_0-0_Gurutto_0-0-Webcam-R-190,18.1517,0.2887
Gurutto_0-0_Gurutto_0-0-Webcam-R-191,18.1073,0.2887
Gurutto_0-0_Gurutto_0-0-Webcam-R-192,18.1072,0.2887
Gurutto_0-0_Gurutto_0-0-Webcam-R-193,18.1593,0.2894
Gurutto_0-0_Gurutto_0-0-Webcam-R-194,18.1704,0.2917
Gurutto_0-0_Gurutto_0-0-Webcam-R-195,18.1696,0.2922
Gurutto_0-0_Gurutto_0-0-Webcam-R-196,18.1482,0.2950
Gurutto_0-0_Gurutto_0-0-Webcam-R-197,18.1503,0.2942
Gurutto_0-0_Gurutto_0-0-Webcam-R-198,18.1503,0.2942
Gurutto_0-0_Gurutto_0-0-Webcam-R-199,18.1207,0.2916
Gurutto_0-0_Gurutto_0-0-Webcam-R-200,18.1503,0.2929
Gurutto_0-0_Gurutto_0-0-Webcam-R-201,18.1800,0.2948
Gurutto_0-0_Gurutto_0-0-Webcam-R-202,18.1362,0.2927
Gurutto_0-0_Gurutto_0-0-Webcam-R-203,18.1229,0.2908
Gurutto_0-0_Gurutto_0-0-Webcam-R-204,18.1228,0.2907
Gurutto_0-0_Gurutto_0-0-Webcam-R-205,18.1342,0.2922
Gurutto_0-0_Gurutto_0-0-Webcam-R-206,18.1303,0.2917
Gurutto_0-0_Gurutto_0-0-Webcam-R-207,18.1068,0.2879
Gurutto_0-0_Gurutto_0-0-Webcam-R-208,18.1173,0.2896
Gurutto_0-0_Gurutto_0-0-Webcam-R-209,18.1184,0.2872
Gurutto_0-0_Gurutto_0-0-Webcam-R-210,18.1184,0.2872
Gurutto_0-0_Gurutto_0-0-Webcam-R-211,18.0949,0.2868
Gurutto_0-0_Gurutto_0-0-Webcam-R-212,18.1085,0.2873
Gurutto_0-0_Gurutto_0-0-Webcam-R-213,18.1095,0.2902
Gurutto_0-0_Gurutto_0-0-Webcam-R-214,18.1173,0.2895
Gurutto_0-0_Gurutto_0-0-Webcam-R-215,18.1403,0.2935
Gurutto_0-0_Gurutto_0-0-Webcam-R-216,18.1403,0.2935
Gurutto_0-0_Gurutto_0-0-Webcam-R-217,18.1185,0.2893
Gurutto_0-0_Gurutto_0-0-Webcam-R-218,18.1439,0.2943
Gurutto_0-0_Gurutto_0-0-Webcam-R-219,18.1892,0.2942
Gurutto_0-0_Gurutto_0-0-Webcam-R-220,18.1834,0.2960
Gurutto_0-0_Gurutto_0-0-Webcam-R-221,18.1489,0.2948
Gurutto_0-0_Gurutto_0-0-Webcam-R-222,18.1492,0.2948
Gurutto_0-0_Gurutto_0-0-Webcam-R-223,18.1915,0.2965
Gurutto_0-0_Gurutto_0-0-Webcam-R-224,18.2009,0.3021
Gurutto_0-0_Gurutto_0-0-Webcam-R-225,18.2118,0.2986
Gurutto_0-0_Gurutto_0-0-Webcam-R-226,18.1917,0.2974
Gurutto_0-0_Gurutto_0-0-Webcam-R-227,18.1590,0.2979
Gurutto_0-0_Gurutto_0-0-Webcam-R-228,18.1596,0.2978
Gurutto_0-0_Gurutto_0-0-Webcam-R-229,18.2022,0.3005
Gurutto_0-0_Gurutto_0-0-Webcam-R-230,18.1314,0.2938
Gurutto_0-0_Gurutto_0-0-Webcam-R-231,18.2030,0.2961
Gurutto_0-0_Gurutto_0-0-Webcam-R-232,18.1657,0.2932
Gurutto_0-0_Gurutto_0-0-Webcam-R-233,18.1107,0.2893
Gurutto_0-0_Gurutto_0-0-Webcam-R-234,18.1120,0.2895
Gurutto_0-0_Gurutto_0-0-Webcam-R-235,18.1522,0.2920
Gurutto_0-0_Gurutto_0-0-Webcam-R-236,18.1483,0.2949
Gurutto_0-0_Gurutto_0-0-Webcam-R-237,18.1557,0.2936
Gurutto_0-0_Gurutto_0-0-Webcam-R-238,18.1769,0.2938
