Image Name,PSNR (dB),SSIM
141,24.6841,0.9098
142,23.5687,0.8236
143,21.7393,0.8196
144,14.4751,0.4979
145,21.7992,0.5944
146,28.9936,0.8260
147,26.0077,0.7612
148,28.2287,0.8101
149,19.2009,0.7316
15,25.3432,0.8645
150,24.0495,0.7654
151,31.0533,0.8327
152,24.2123,0.8573
153,25.2214,0.8442
154,25.4916,0.8496
155,21.2411,0.5571
156,22.8671,0.6993
157,29.4521,0.8944
158,19.5949,0.7134
159,27.0446,0.8259
16,29.0115,0.8011
160,21.9862,0.7379
161,24.9309,0.8117
162,30.6812,0.9317
163,28.2947,0.7854
164,27.0430,0.8131
165,26.4493,0.9115
166,28.9778,0.9489
167,31.0861,0.8232
168,22.4386,0.5986
169,19.4636,0.7626
17,21.0945,0.7167
170,20.7949,0.8542
171,27.6828,0.9314
172,23.4046,0.8376
173,31.5950,0.9149
174,25.7841,0.9061
175,32.4744,0.9342
176,25.8423,0.7687
177,29.4242,0.9278
178,15.5374,0.6688
179,24.9885,0.8140
18,25.2925,0.8344
180,27.3498,0.8734
181,30.2616,0.8808
182,24.5902,0.7917
183,29.5791,0.9280
184,22.9614,0.8615
185,19.7747,0.7541
186,27.8282,0.8315
187,27.6060,0.8948
188,23.4550,0.8161
189,24.6388,0.8567
19,20.5169,0.6526
190,25.5293,0.7957
191,24.5719,0.8047
192,26.1354,0.8171
193,21.4702,0.8122
194,21.3243,0.7004
195,23.6061,0.8042
196,22.3278,0.7534
197,24.6728,0.8175
198,18.1706,0.7867
199,19.2034,0.6981
2,24.5822,0.8148
20,19.7386,0.8385
200,30.4006,0.8758
201,29.8373,0.8610
202,21.6890,0.7395
203,15.9787,0.5624
204,27.7011,0.7455
205,25.3996,0.8855
206,23.2608,0.8105
207,21.3792,0.8284
208,19.2097,0.7723
209,23.0863,0.7488
21,22.4903,0.7493
210,25.9033,0.9122
211,23.1820,0.7634
212,16.2987,0.4562
213,22.0782,0.6812
214,28.1550,0.8763
215,27.1149,0.7654
216,21.0118,0.6874
217,23.8727,0.7818
218,21.5641,0.7441
219,18.4450,0.6791
22,28.2460,0.8970
220,17.7640,0.7069
221,25.7195,0.9214
222,22.0487,0.7121
223,27.0871,0.8829
224,23.9395,0.7091
225,27.4206,0.7992
226,30.0395,0.9004
227,24.8299,0.8770
228,16.9828,0.6963
229,23.4698,0.8151
23,24.9956,0.8622
230,20.2220,0.7425
231,23.7730,0.7110
232,20.6095,0.8012
233,27.5512,0.8972
234,25.3381,0.8716
235,29.5973,0.8844
236,22.5351,0.8866
237,23.1289,0.7924
238,26.5726,0.7817
239,24.7378,0.9168
24,25.4514,0.7463
240,24.3720,0.7029
241,28.8864,0.8680
242,24.7348,0.8060
243,28.0337,0.8659
244,25.2434,0.7289
245,24.9270,0.7898
246,26.1803,0.8314
247,25.7294,0.8377
248,16.3233,0.6557
249,30.5883,0.9310
25,24.0084,0.8085
250,26.5939,0.7897
251,27.0207,0.8938
252,16.1141,0.4487
253,28.6021,0.9497
254,24.2990,0.7715
255,23.4020,0.8124
256,27.3555,0.8624
257,21.5729,0.7715
258,19.1473,0.6231
259,27.9357,0.8681
26,25.7696,0.8906
260,21.6878,0.7959
261,22.9244,0.7573
262,20.7689,0.8067
263,22.7890,0.8218
264,23.6292,0.8637
265,23.8498,0.8134
266,28.2041,0.8074
267,23.9997,0.7560
268,19.6792,0.7409
269,25.9301,0.8464
27,25.8946,0.8942
270,20.6142,0.7089
271,19.6598,0.5702
272,22.0341,0.8324
273,16.4938,0.6581
274,24.0007,0.7212
275,19.2158,0.6691
276,20.3062,0.7571
277,25.8622,0.8211
278,26.4175,0.8668
279,21.6052,0.8138
28,24.8088,0.8848
280,27.5915,0.8835
281,22.7401,0.8416
282,20.7839,0.7571
283,27.3376,0.8341
284,20.6453,0.6633
285,21.6026,0.7577
286,18.4751,0.7212
287,25.1036,0.7971
288,17.0300,0.6463
289,29.5225,0.9131
29,21.7860,0.8778
290,27.0718,0.9039
291,23.4877,0.7964
292,19.8646,0.7150
293,27.6660,0.8154
294,21.3908,0.7527
295,23.5148,0.7560
296,23.2705,0.7587
297,16.5924,0.6443
298,22.1524,0.7915
299,23.3557,0.7418
3,27.1472,0.9144
30,19.9447,0.7458
300,24.7787,0.8169
301,23.7289,0.7429
302,25.8071,0.8711
303,18.3292,0.7265
304,19.4439,0.4928
305,25.1677,0.8473
306,28.0547,0.8888
307,26.8885,0.8754
308,27.1200,0.8310
309,20.2889,0.7426
31,29.7069,0.8918
310,24.6934,0.7383
311,18.8349,0.6750
312,22.5293,0.8214
313,23.0472,0.7049
314,17.7745,0.6819
315,27.3436,0.8637
316,26.5135,0.9047
317,23.1495,0.7285
318,22.0860,0.7509
319,29.6423,0.8319
32,24.8321,0.6990
320,27.5229,0.8811
321,19.8443,0.7998
322,21.0111,0.7031
323,23.2218,0.7430
324,25.1720,0.7749
325,21.5732,0.8184
326,19.3246,0.5394
327,23.5953,0.7042
328,22.8394,0.7794
329,32.4337,0.8645
33,24.4181,0.8243
330,19.8679,0.6996
331,24.6998,0.7767
332,30.0254,0.9519
333,21.3197,0.7289
334,31.3980,0.9222
335,24.3552,0.7752
336,27.5582,0.7559
337,18.5180,0.5771
338,30.6612,0.9629
339,28.9892,0.8102
34,23.1251,0.7896
340,26.7340,0.8393
341,26.1217,0.8116
342,28.4870,0.8920
343,26.8663,0.8732
344,25.3908,0.8048
345,24.1118,0.8500
346,18.8221,0.7476
347,17.4821,0.5266
348,24.3966,0.7764
349,23.7182,0.8142
35,21.5363,0.7996
350,24.0555,0.8258
351,22.8903,0.8707
352,30.2113,0.8785
353,27.6850,0.8287
354,19.9656,0.6244
355,28.2021,0.8787
356,21.9425,0.7487
357,23.7566,0.6950
358,22.7376,0.7861
359,27.6301,0.7242
36,26.6629,0.9089
360,25.8185,0.7414
361,28.0263,0.8691
362,25.0862,0.8687
363,22.7344,0.8095
364,23.2584,0.8368
365,17.0712,0.6236
366,15.3909,0.5581
367,21.5438,0.8441
368,25.2079,0.8505
369,29.6375,0.9092
37,23.7798,0.7188
370,22.0752,0.7100
371,25.2784,0.8393
372,23.2195,0.8978
373,22.9954,0.7974
374,20.1902,0.5925
375,22.1516,0.8145
376,25.6248,0.7524
377,21.5280,0.6742
378,27.5088,0.8285
379,21.3529,0.7762
38,21.0847,0.7465
380,18.7169,0.7678
381,23.2249,0.7909
382,27.2425,0.9194
383,17.7062,0.7966
384,22.4584,0.7448
385,24.6051,0.9110
386,22.5492,0.8346
387,31.4108,0.9292
388,23.8063,0.6946
389,27.7394,0.8110
39,23.7058,0.8195
390,23.5012,0.8318
391,19.1616,0.7067
392,24.2412,0.9060
393,28.8032,0.8796
394,26.2792,0.8151
395,28.2823,0.9272
396,28.2822,0.9136
397,21.9466,0.6515
398,26.7936,0.8677
399,22.1559,0.7811
4,26.7123,0.7735
40,23.5389,0.8303
400,30.0494,0.9043
401,25.3245,0.7089
402,29.4781,0.8947
403,28.5895,0.9262
404,24.9894,0.7184
405,17.8587,0.6100
406,28.4044,0.8702
407,28.8558,0.9252
408,24.6859,0.7951
409,27.0372,0.8339
41,22.6556,0.8261
410,21.0246,0.7660
411,18.9770,0.6791
412,22.4989,0.7676
413,30.0813,0.9292
414,23.4218,0.6862
415,27.5889,0.9038
416,19.1390,0.5512
417,28.5153,0.8839
418,17.9526,0.6463
