Image Name,PSNR (dB),SSIM
0000_00,30.7339,0.8912
0001_00,31.2605,0.8945
0002_00,26.8193,0.8685
0003_00,28.0161,0.8687
0004_00,30.2464,0.8705
0005_00,23.9805,0.8572
0006_00,28.7572,0.8695
0007_00,26.9569,0.8731
0008_00,28.3337,0.8469
0009_00,31.1459,0.8648
0010_00,26.0614,0.7635
0011_00,28.6684,0.8162
0012_00,30.3448,0.8585
0013_00,27.9128,0.8226
0014_00,29.8978,0.8895
0015_00,32.4390,0.9196
0016_00,28.2757,0.8922
0017_00,26.2002,0.8565
0018_00,29.2618,0.8547
0019_00,28.9016,0.8232
0020_00,29.1570,0.8202
0021_00,29.3931,0.8350
0022_00,27.3392,0.8382
0023_00,28.1711,0.8396
0024_00,28.7180,0.8699
0025_00,28.7876,0.8628
0026_00,28.4429,0.8558
0027_00,30.5203,0.8773
0028_00,29.6639,0.8536
0029_00,29.5549,0.8645
0030_00,29.6918,0.8875
0031_00,30.1060,0.8468
0032_00,30.7830,0.8992
0033_00,28.2253,0.8780
0034_00,28.7988,0.8491
0035_00,30.1828,0.8562
0036_00,26.4416,0.7794
0037_00,26.7179,0.7698
0038_00,25.7203,0.8350
0039_00,25.6242,0.8066
0040_00,28.4479,0.8418
0041_00,28.5460,0.8512
0042_00,29.3863,0.8950
0043_00,28.3235,0.8555
0044_00,29.0039,0.8203
0045_00,28.8138,0.8676
0046_00,28.1402,0.8647
0047_00,26.2608,0.8199
0048_00,31.5275,0.9031
0049_00,32.1777,0.9152

Average,28.7376,0.8552
