Image Name,PSNR (dB),SSIM
raindrop_rd-395,18.5259,0.6986
raindrop_rd-425,20.1206,0.7349
raindrop_rd-436,19.8190,0.7341
raindrop_rd-487,20.6897,0.7616
raindrop_rd-488,21.0928,0.7769
raindrop_rd-489,20.5672,0.7673
raindrop_rd-490,20.2041,0.7487
raindrop_rd-491,19.8937,0.7706
raindrop_rd-492,19.9226,0.7619
raindrop_rd-493,19.6183,0.7578
raindrop_rd-494,18.4782,0.7269
raindrop_rd-495,18.8397,0.7334
raindrop_rd-496,19.9050,0.7501
raindrop_rd-497,20.2741,0.7470
raindrop_rd-498,20.8845,0.7404
raindrop_rd-499,21.0605,0.7441
raindrop_rd-50,20.0047,0.6813
raindrop_rd-500,20.8511,0.7406
raindrop_rd-501,18.4668,0.6636
raindrop_rd-502,18.1526,0.6575
raindrop_rd-503,18.3656,0.6558
raindrop_rd-504,18.7352,0.6725
raindrop_rd-505,18.7069,0.6831
raindrop_rd-506,18.8490,0.6646
raindrop_rd-507,18.8433,0.6417
raindrop_rd-508,18.6509,0.6516
raindrop_rd-509,18.6341,0.6501
raindrop_rd-510,18.6267,0.6583
raindrop_rd-511,19.6684,0.7195
raindrop_rd-512,18.3607,0.6808
raindrop_rd-513,18.4741,0.6980
raindrop_rd-514,18.5724,0.7017
raindrop_rd-515,19.5603,0.7379
raindrop_rd-516,18.2797,0.6978
raindrop_rd-517,18.2288,0.7016
raindrop_rd-518,17.6719,0.6960
raindrop_rd-519,19.0527,0.6892
raindrop_rd-520,18.9244,0.6968
raindrop_rd-521,18.8617,0.7046
raindrop_rd-522,18.7548,0.7011
raindrop_rd-523,18.7155,0.7006
raindrop_rd-524,18.7138,0.6998
raindrop_rd-525,18.7196,0.6996
raindrop_rd-60,20.2297,0.6997
raindrop_rd-61,19.6891,0.7678
raindrop_rd-62,19.8131,0.7544
raindrop_rd-63,19.4886,0.7405
raindrop_rd-64,20.1087,0.7548
raindrop_rd-65,19.4505,0.7484
raindrop_rd-66,19.8802,0.7577
raindrop_rd-67,20.7813,0.7789
raindrop_rd-68,20.7323,0.7704
raindrop_rd-69,19.6019,0.7551
raindrop_rd-70,21.4093,0.7098
raindrop_rd-74,21.4474,0.7126
raindrop_rd-89,22.1207,0.7027
rainstreak_pie-rain-100,18.2510,0.5384
rainstreak_pie-rain-104,21.1338,0.6838
rainstreak_pie-rain-108,21.5971,0.7672
rainstreak_pie-rain-109,20.2648,0.6443
rainstreak_pie-rain-110,17.6596,0.6009
rainstreak_pie-rain-113,21.9762,0.7513
rainstreak_pie-rain-118,19.9406,0.6665
rainstreak_pie-rain-124,19.7091,0.6895
rainstreak_pie-rain-128,18.0855,0.6237
rainstreak_pie-rain-138,21.5094,0.6905
rainstreak_pie-rain-143,21.8715,0.7386
rainstreak_pie-rain-163,18.6587,0.5650
rainstreak_pie-rain-173,19.5731,0.6171
rainstreak_pie-rain-174,19.8721,0.6453
rainstreak_pie-rain-180,18.8380,0.6282
rainstreak_pie-rain-182,21.0292,0.6811
rainstreak_pie-rain-19,19.2870,0.6121
rainstreak_pie-rain-212,18.2018,0.5959
rainstreak_pie-rain-213,18.4271,0.6095
rainstreak_pie-rain-216,18.3088,0.5977
rainstreak_pie-rain-223,18.7739,0.6135
rainstreak_pie-rain-225,18.6891,0.6302
rainstreak_pie-rain-228,17.2558,0.5399
rainstreak_pie-rain-229,20.4300,0.5958
rainstreak_pie-rain-234,19.7727,0.6220
rainstreak_pie-rain-236,17.8760,0.5586
rainstreak_pie-rain-237,19.9417,0.6129
rainstreak_pie-rain-264,22.1238,0.7005
rainstreak_pie-rain-268,23.8117,0.7355
rainstreak_pie-rain-28,19.6952,0.6206
rainstreak_pie-rain-299,19.5761,0.6411
rainstreak_pie-rain-306,19.8799,0.7243
rainstreak_pie-rain-308,25.5639,0.8245
rainstreak_pie-rain-311,24.3610,0.7962
rainstreak_pie-rain-313,24.2689,0.8023
rainstreak_pie-rain-323,18.7067,0.6724
rainstreak_pie-rain-326,20.5834,0.6946
rainstreak_pie-rain-332,21.3703,0.7298
rainstreak_pie-rain-343,19.7304,0.6695
rainstreak_pie-rain-344,20.6020,0.6621
rainstreak_pie-rain-349,20.9026,0.6888
rainstreak_pie-rain-35,21.7608,0.6621
rainstreak_pie-rain-353,22.2295,0.7197
rainstreak_pie-rain-355,24.2105,0.7729
rainstreak_pie-rain-36,24.0567,0.7224
rainstreak_pie-rain-37,21.6281,0.6390
rainstreak_pie-rain-374,25.1297,0.7680
rainstreak_pie-rain-380,19.4054,0.7120
