# NDR-Restore GT-Rain Evaluation Results,,,
,,,
# Model Information,,,
Model,NDR-Restore,,
Test Dataset,GT-Rain,,
,,,
# Overall Metrics,,,
Total Images,2100,,
Average PSNR (dB),21.2411,,
Average SSIM,0.5948,,
,,,
# Per-Image Results,,,
Image Name,GT Name,PSNR (dB),SSIM
Gurutto_0-0-Webcam-R-058.png,Gurutto_0-0-Webcam-C-000.png,25.8012,0.7696
Gurutto_0-0-Webcam-R-059.png,Gurutto_0-0-Webcam-C-000.png,25.8116,0.7703
Gurutto_0-0-Webcam-R-060.png,Gurutto_0-0-Webcam-C-000.png,25.816,0.7705
Gurutto_0-0-Webcam-R-061.png,Gurutto_0-0-Webcam-C-000.png,25.8615,0.7667
Gurutto_0-0-Webcam-R-062.png,Gurutto_0-0-Webcam-C-000.png,25.4474,0.7613
Gurutto_0-0-Webcam-R-063.png,Gurutto_0-0-Webcam-C-000.png,25.187,0.7572
Gurutto_0-0-Webcam-R-064.png,Gurutto_0-0-Webcam-C-000.png,25.5331,0.765
Gurutto_0-0-Webcam-R-065.png,Gurutto_0-0-Webcam-C-000.png,25.8993,0.7686
Gurutto_0-0-Webcam-R-066.png,Gurutto_0-0-Webcam-C-000.png,25.8993,0.7686
Gurutto_0-0-Webcam-R-067.png,Gurutto_0-0-Webcam-C-000.png,25.8705,0.7662
Gurutto_0-0-Webcam-R-068.png,Gurutto_0-0-Webcam-C-000.png,25.7971,0.7625
Gurutto_0-0-Webcam-R-069.png,Gurutto_0-0-Webcam-C-000.png,25.7161,0.7633
Gurutto_0-0-Webcam-R-070.png,Gurutto_0-0-Webcam-C-000.png,25.8282,0.765
Gurutto_0-0-Webcam-R-071.png,Gurutto_0-0-Webcam-C-000.png,25.6912,0.7601
Gurutto_0-0-Webcam-R-072.png,Gurutto_0-0-Webcam-C-000.png,25.6944,0.7602
Gurutto_0-0-Webcam-R-073.png,Gurutto_0-0-Webcam-C-000.png,25.5164,0.7574
Gurutto_0-0-Webcam-R-074.png,Gurutto_0-0-Webcam-C-000.png,25.7806,0.7605
Gurutto_0-0-Webcam-R-075.png,Gurutto_0-0-Webcam-C-000.png,25.4941,0.7535
Gurutto_0-0-Webcam-R-076.png,Gurutto_0-0-Webcam-C-000.png,25.7509,0.7603
Gurutto_0-0-Webcam-R-077.png,Gurutto_0-0-Webcam-C-000.png,25.7724,0.7622
Gurutto_0-0-Webcam-R-078.png,Gurutto_0-0-Webcam-C-000.png,25.7754,0.7624
Gurutto_0-0-Webcam-R-079.png,Gurutto_0-0-Webcam-C-000.png,25.9001,0.7649
Gurutto_0-0-Webcam-R-080.png,Gurutto_0-0-Webcam-C-000.png,25.7517,0.7596
Gurutto_0-0-Webcam-R-081.png,Gurutto_0-0-Webcam-C-000.png,25.7024,0.7578
Gurutto_0-0-Webcam-R-082.png,Gurutto_0-0-Webcam-C-000.png,25.7817,0.7604
Gurutto_0-0-Webcam-R-083.png,Gurutto_0-0-Webcam-C-000.png,25.6227,0.7601
Gurutto_0-0-Webcam-R-084.png,Gurutto_0-0-Webcam-C-000.png,25.6239,0.7601
Gurutto_0-0-Webcam-R-085.png,Gurutto_0-0-Webcam-C-000.png,25.8084,0.763
Gurutto_0-0-Webcam-R-086.png,Gurutto_0-0-Webcam-C-000.png,25.5677,0.7601
Gurutto_0-0-Webcam-R-087.png,Gurutto_0-0-Webcam-C-000.png,25.642,0.7589
Gurutto_0-0-Webcam-R-088.png,Gurutto_0-0-Webcam-C-000.png,25.6235,0.7599
Gurutto_0-0-Webcam-R-089.png,Gurutto_0-0-Webcam-C-000.png,25.8244,0.7654
Gurutto_0-0-Webcam-R-090.png,Gurutto_0-0-Webcam-C-000.png,25.8244,0.7654
Gurutto_0-0-Webcam-R-091.png,Gurutto_0-0-Webcam-C-000.png,25.4184,0.7594
Gurutto_0-0-Webcam-R-092.png,Gurutto_0-0-Webcam-C-000.png,25.4215,0.7606
Gurutto_0-0-Webcam-R-093.png,Gurutto_0-0-Webcam-C-000.png,25.5664,0.7632
Gurutto_0-0-Webcam-R-094.png,Gurutto_0-0-Webcam-C-000.png,25.8017,0.7652
