# NDR-Restore RealRain-1k-H Evaluation Results,,,
,,,
# Model Information,,,
Model,NDR-Restore,,
Test Dataset,RealRain-1k-H,,
,,,
# Overall Metrics,,,
Total Images,224,,
Average PSNR (dB),22.0523,,
Average SSIM,0.6931,,
,,,
# Per-Image Results,,,
Image Name,GT Name,PSNR (dB),SSIM
756.png,756.png,28.4376,0.9288
759.png,759.png,23.3275,0.7245
762.png,762.png,21.7789,0.7847
765.png,765.png,20.7338,0.7236
766.png,766.png,22.2465,0.7755
767.png,767.png,25.7694,0.8398
770.png,770.png,23.9622,0.6193
778.png,778.png,20.6911,0.81
779.png,779.png,25.4047,0.9047
780.png,780.png,23.4217,0.8081
788.png,788.png,23.9027,0.8066
789.png,789.png,20.5476,0.7017
797.png,797.png,23.6821,0.8642
813.png,813.png,19.6983,0.4826
814.png,814.png,22.3193,0.6835
817.png,817.png,19.2921,0.5264
826.png,826.png,17.7363,0.7059
834.png,834.png,17.2228,0.3841
835.png,835.png,16.0274,0.4707
839.png,839.png,22.9382,0.7075
845.png,845.png,19.3364,0.6703
847.png,847.png,11.997,0.3106
850.png,850.png,13.394,0.3561
855.png,855.png,19.1315,0.518
859.png,859.png,20.9951,0.7676
862.png,862.png,20.0546,0.778
863.png,863.png,18.1322,0.7436
864.png,864.png,21.0162,0.7
865.png,865.png,16.6999,0.3769
882.png,882.png,24.1118,0.7159
883.png,883.png,21.3116,0.6573
884.png,884.png,25.6234,0.7957
885.png,885.png,24.2286,0.708
933.png,933.png,20.1043,0.6971
939.png,939.png,23.5756,0.7725
941.png,941.png,22.3796,0.7213
944.png,944.png,28.954,0.6451
946.png,946.png,17.685,0.234
947.png,947.png,23.689,0.709
950.png,950.png,23.5909,0.8393
957.png,957.png,9.5537,0.135
959.png,959.png,28.1942,0.8491
969.png,969.png,33.4127,0.9515
994.png,994.png,18.0028,0.5083
995.png,995.png,25.6811,0.6254
1002.png,1002.png,31.3866,0.9427
1003.png,1003.png,25.6584,0.7881
1004.png,1004.png,21.9596,0.7813
1006.png,1006.png,19.7409,0.468
1009.png,1009.png,19.1431,0.3203
1010.png,1010.png,25.108,0.7809
1013.png,1013.png,24.9268,0.6186
1014.png,1014.png,18.9115,0.5343
1015.png,1015.png,23.831,0.5674
1016.png,1016.png,18.0466,0.538
1020.png,1020.png,31.0569,0.9572
1023.png,1023.png,25.0022,0.6332
1030.png,1030.png,30.3387,0.8298
1031.png,1031.png,14.4858,0.1802
1035.png,1035.png,34.855,0.9708
1040.png,1040.png,18.9596,0.6566
1041.png,1041.png,20.5216,0.577
1050.png,1050.png,36.7135,0.9785
1060.png,1060.png,27.8927,0.7477
1071.png,1071.png,25.0208,0.9028
1080.png,1080.png,25.9715,0.7752
1086.png,1086.png,21.2281,0.728
1088.png,1088.png,30.7074,0.9131
1096.png,1096.png,34.9522,0.9767
1097.png,1097.png,29.1709,0.8179
1101.png,1101.png,16.2068,0.545
1102.png,1102.png,22.796,0.7883
1105.png,1105.png,18.7783,0.5364
1107.png,1107.png,20.4009,0.524
1108.png,1108.png,23.0318,0.8057
1109.png,1109.png,21.5794,0.7787
1113.png,1113.png,12.7806,0.4928
