# NDR-Restore Outdoor-Rain Evaluation Results,,,
,,,
# Model Information,,,
Model,NDR-Restore,,
Test Dataset,Outdoor-Rain,,
,,,
# Overall Metrics,,,
Total Images,9000,,
Average PSNR (dB),15.8696,,
Average SSIM,0.6363,,
,,,
# Per-Image Results,,,
Rainy Image Name,GT Name,PSNR (dB),SSIM
im_0007_s90_a06.png,im_0007.png,23.2298,0.692
im_0007_s95_a04.png,im_0007.png,22.0333,0.6003
im_0007_s95_a05.png,im_0007.png,17.8118,0.7474
im_0007_s95_a06.png,im_0007.png,21.8639,0.6266
im_0008_s100_a04.png,im_0008.png,15.4333,0.6008
im_0008_s100_a05.png,im_0008.png,13.1088,0.5699
im_0008_s100_a06.png,im_0008.png,19.1419,0.6493
im_0008_s80_a04.png,im_0008.png,17.5408,0.6534
im_0008_s80_a05.png,im_0008.png,20.6601,0.737
im_0008_s80_a06.png,im_0008.png,15.9966,0.6005
im_0008_s85_a04.png,im_0008.png,17.5714,0.637
im_0008_s85_a05.png,im_0008.png,15.9969,0.711
im_0008_s85_a06.png,im_0008.png,13.2025,0.6088
im_0008_s90_a04.png,im_0008.png,13.3626,0.6392
im_0008_s90_a05.png,im_0008.png,15.6043,0.5987
im_0008_s90_a06.png,im_0008.png,15.6718,0.6031
im_0008_s95_a04.png,im_0008.png,13.3096,0.5903
im_0008_s95_a05.png,im_0008.png,12.7159,0.611
im_0008_s95_a06.png,im_0008.png,14.8275,0.555
im_0009_s100_a04.png,im_0009.png,19.2551,0.5349
im_0009_s100_a05.png,im_0009.png,18.0588,0.5572
im_0009_s100_a06.png,im_0009.png,18.1869,0.6769
im_0009_s80_a04.png,im_0009.png,18.9927,0.623
im_0009_s80_a05.png,im_0009.png,17.2564,0.4048
im_0009_s80_a06.png,im_0009.png,16.7758,0.3804
im_0009_s85_a04.png,im_0009.png,24.146,0.6385
im_0009_s85_a05.png,im_0009.png,19.3851,0.6983
im_0009_s85_a06.png,im_0009.png,21.3289,0.6099
im_0009_s90_a04.png,im_0009.png,19.7565,0.623
im_0009_s90_a05.png,im_0009.png,17.7521,0.6491
im_0009_s90_a06.png,im_0009.png,20.0627,0.6162
im_0009_s95_a04.png,im_0009.png,21.1375,0.5843
im_0009_s95_a05.png,im_0009.png,20.1812,0.5352
im_0009_s95_a06.png,im_0009.png,20.485,0.5761
im_0010_s100_a04.png,im_0010.png,21.3672,0.7635
im_0010_s100_a05.png,im_0010.png,17.4998,0.7635
im_0010_s100_a06.png,im_0010.png,14.2416,0.6939
im_0010_s80_a04.png,im_0010.png,13.3747,0.594
im_0010_s80_a05.png,im_0010.png,13.2952,0.6106
im_0010_s80_a06.png,im_0010.png,14.3071,0.6484
im_0010_s85_a04.png,im_0010.png,14.89,0.5694
im_0010_s85_a05.png,im_0010.png,14.7961,0.5619
im_0010_s85_a06.png,im_0010.png,14.6089,0.6448
im_0010_s90_a04.png,im_0010.png,15.0058,0.6322
im_0010_s90_a05.png,im_0010.png,16.1707,0.5901
im_0010_s90_a06.png,im_0010.png,17.0025,0.568
im_0010_s95_a04.png,im_0010.png,12.9184,0.6105
im_0010_s95_a05.png,im_0010.png,15.4853,0.7415
im_0010_s95_a06.png,im_0010.png,13.429,0.658
im_0011_s100_a04.png,im_0011.png,9.3653,0.4512
im_0011_s100_a05.png,im_0011.png,15.2104,0.6526
im_0011_s100_a06.png,im_0011.png,10.7349,0.4978
im_0011_s80_a04.png,im_0011.png,9.7422,0.4632
im_0011_s80_a05.png,im_0011.png,12.2032,0.5729
im_0011_s80_a06.png,im_0011.png,9.5477,0.4441
im_0011_s85_a04.png,im_0011.png,18.1697,0.6883
im_0011_s85_a05.png,im_0011.png,10.753,0.5866
im_0011_s85_a06.png,im_0011.png,11.8979,0.5944
im_0011_s90_a04.png,im_0011.png,10.3517,0.4781
im_0011_s90_a05.png,im_0011.png,11.0265,0.5902
im_0011_s90_a06.png,im_0011.png,9.5397,0.4299
im_0011_s95_a04.png,im_0011.png,10.8308,0.5171
im_0011_s95_a05.png,im_0011.png,10.2813,0.5299
im_0011_s95_a06.png,im_0011.png,10.9106,0.5111
im_0012_s100_a04.png,im_0012.png,16.4583,0.6617
im_0012_s100_a05.png,im_0012.png,22.5992,0.6945
im_0012_s100_a06.png,im_0012.png,17.7229,0.5521
im_0012_s80_a04.png,im_0012.png,20.7606,0.5996
im_0012_s80_a05.png,im_0012.png,19.6594,0.678
im_0012_s80_a06.png,im_0012.png,19.593,0.7554
im_0012_s85_a04.png,im_0012.png,16.638,0.7729
im_0012_s85_a05.png,im_0012.png,24.246,0.8016
im_0012_s85_a06.png,im_0012.png,16.1093,0.7364
im_0012_s90_a04.png,im_0012.png,20.1522,0.6235
im_0012_s90_a05.png,im_0012.png,16.0464,0.5972
im_0012_s90_a06.png,im_0012.png,16.0032,0.7605
im_0012_s95_a04.png,im_0012.png,24.5795,0.7903
im_0012_s95_a05.png,im_0012.png,18.2201,0.6857
im_0012_s95_a06.png,im_0012.png,20.2411,0.5815
im_0013_s100_a04.png,im_0013.png,16.8485,0.5864
im_0013_s100_a05.png,im_0013.png,14.5224,0.6833
im_0013_s100_a06.png,im_0013.png,17.4484,0.5827
im_0013_s80_a04.png,im_0013.png,16.6525,0.7445
im_0013_s80_a05.png,im_0013.png,15.617,0.7715
im_0013_s80_a06.png,im_0013.png,16.5648,0.6639
im_0013_s85_a04.png,im_0013.png,14.4462,0.7348
im_0013_s85_a05.png,im_0013.png,14.0462,0.6
im_0013_s85_a06.png,im_0013.png,22.475,0.7738
im_0013_s90_a04.png,im_0013.png,14.4224,0.5438
im_0013_s90_a05.png,im_0013.png,22.7464,0.6822
im_0013_s90_a06.png,im_0013.png,16.5006,0.5711
im_0013_s95_a04.png,im_0013.png,12.1529,0.5953
im_0013_s95_a05.png,im_0013.png,15.7888,0.5635
