# NDR-Restore RainDS_syn Evaluation Results,,,,
,,,,
# Model Information,,,,
Model,NDR-Restore,,,
Test Dataset,RainDS_syn,,,
,,,,
# Overall Metrics Summary,,,,
Rain Type,Image Count,Average PSNR (dB),Average SSIM,
Raindrop,200,20.045,0.7713,
Rainstreak,200,22.4901,0.6714,
Rainstreak Raindrop,200,18.4167,0.5715,
Overall,600,20.3173,0.6714,
,,,,
# Per-Image Results,,,,
Image Name,GT Name,Rain Type,PSNR (dB),SSIM
pie-rd-566.png,pie-norain-566.png,raindrop,19.6595,0.7797
pie-rd-567.png,pie-norain-567.png,raindrop,19.6418,0.7788
pie-rd-572.png,pie-norain-572.png,raindrop,18.824,0.7717
pie-rd-580.png,pie-norain-580.png,raindrop,19.0215,0.7757
pie-rd-586.png,pie-norain-586.png,raindrop,20.0528,0.7938
pie-rd-594.png,pie-norain-594.png,raindrop,19.5538,0.7866
pie-rd-598.png,pie-norain-598.png,raindrop,19.4601,0.7845
pie-rd-599.png,pie-norain-599.png,raindrop,19.4912,0.7868
pie-rd-64.png,pie-norain-64.png,raindrop,20.0688,0.8345
pie-rd-72.png,pie-norain-72.png,raindrop,19.868,0.8007
pie-rd-77.png,pie-norain-77.png,raindrop,20.8123,0.8146
pie-rd-79.png,pie-norain-79.png,raindrop,20.4176,0.8205
pie-rd-8.png,pie-norain-8.png,raindrop,20.9854,0.8229
pie-rd-83.png,pie-norain-83.png,raindrop,19.4796,0.8115
pie-rd-84.png,pie-norain-84.png,raindrop,19.4279,0.8132
pie-rd-98.png,pie-norain-98.png,raindrop,18.6878,0.7913
rd-108.png,norain-108.png,raindrop,20.3938,0.5883
rd-153.png,norain-153.png,raindrop,20.8305,0.7273
rd-16.png,norain-16.png,raindrop,20.7202,0.6561
rd-160.png,norain-160.png,raindrop,20.8133,0.7292
rd-161.png,norain-161.png,raindrop,20.858,0.7289
rd-162.png,norain-162.png,raindrop,20.8443,0.7296
rd-163.png,norain-163.png,raindrop,20.8471,0.7283
rd-164.png,norain-164.png,raindrop,20.4593,0.7292
rd-165.png,norain-165.png,raindrop,20.8175,0.7193
rd-166.png,norain-166.png,raindrop,20.6616,0.7215
rd-167.png,norain-167.png,raindrop,20.662,0.7301
rd-168.png,norain-168.png,raindrop,21.573,0.7311
rd-169.png,norain-169.png,raindrop,21.3738,0.7265
rd-180.png,norain-180.png,raindrop,19.847,0.7117
rd-2.png,norain-2.png,raindrop,24.5775,0.7361
rd-203.png,norain-203.png,raindrop,19.6548,0.6925
rd-237.png,norain-237.png,raindrop,18.6351,0.6811
rd-256.png,norain-256.png,raindrop,19.8547,0.706
rd-260.png,norain-260.png,raindrop,19.2648,0.7648
rd-261.png,norain-261.png,raindrop,19.2059,0.7481
rd-262.png,norain-262.png,raindrop,19.9482,0.7341
rd-263.png,norain-263.png,raindrop,19.4411,0.7353
rd-264.png,norain-264.png,raindrop,19.3679,0.72
rd-265.png,norain-265.png,raindrop,19.5631,0.7147
rd-266.png,norain-266.png,raindrop,19.6479,0.7216
rd-267.png,norain-267.png,raindrop,19.8714,0.7239
rd-268.png,norain-268.png,raindrop,19.6931,0.7179
rd-269.png,norain-269.png,raindrop,19.9828,0.718
rd-274.png,norain-274.png,raindrop,20.0953,0.7281
rd-305.png,norain-305.png,raindrop,20.6923,0.6968
