# NDR-Restore GTAV-NightRain-set1 Evaluation Results,,,
,,,
# Model Information,,,
Model,NDR-Restore,,
Test Dataset,GTAV-NightRain-set1,,
,,,
# Overall Metrics,,,
Total Images,50,,
Average PSNR (dB),32.4397,,
Average SSIM,0.8979,,
,,,
# Per-Image Results,,,
Image Name,GT Name,PSNR (dB),SSIM
0000_00.png,0000.png,31.256,0.9217
0001_00.png,0001.png,31.1983,0.9093
0002_00.png,0002.png,32.1475,0.8937
0003_00.png,0003.png,32.5379,0.8969
0004_00.png,0004.png,34.6557,0.9402
0005_00.png,0005.png,33.9477,0.9415
0006_00.png,0006.png,35.5196,0.939
0007_00.png,0007.png,33.9195,0.9389
0008_00.png,0008.png,32.1965,0.9239
0009_00.png,0009.png,33.435,0.8202
0010_00.png,0010.png,28.1038,0.862
0011_00.png,0011.png,36.2468,0.9402
0012_00.png,0012.png,31.3524,0.7395
0013_00.png,0013.png,31.462,0.9046
0014_00.png,0014.png,29.3992,0.8929
0015_00.png,0015.png,31.2931,0.9254
0016_00.png,0016.png,31.9596,0.9454
0017_00.png,0017.png,31.5051,0.9535
0018_00.png,0018.png,31.7785,0.8567
0019_00.png,0019.png,32.1433,0.8789
0020_00.png,0020.png,31.7616,0.8384
0021_00.png,0021.png,32.5692,0.8962
0022_00.png,0022.png,27.4885,0.8181
0023_00.png,0023.png,33.0451,0.8893
0024_00.png,0024.png,31.2985,0.8192
0025_00.png,0025.png,31.709,0.8635
0026_00.png,0026.png,33.1829,0.9278
0027_00.png,0027.png,37.4122,0.9634
0028_00.png,0028.png,32.0929,0.9043
0029_00.png,0029.png,37.051,0.9548
0030_00.png,0030.png,34.3704,0.9185
0031_00.png,0031.png,35.363,0.9466
0032_00.png,0032.png,35.5839,0.9304
0033_00.png,0033.png,40.6413,0.9767
0034_00.png,0034.png,29.8109,0.8995
0035_00.png,0035.png,29.8568,0.8742
0036_00.png,0036.png,29.3724,0.8869
0037_00.png,0037.png,28.3632,0.8823
0038_00.png,0038.png,32.8552,0.9115
0039_00.png,0039.png,33.9759,0.92
0040_00.png,0040.png,31.3957,0.887
0041_00.png,0041.png,33.5962,0.8949
0042_00.png,0042.png,33.0047,0.8734
0043_00.png,0043.png,30.9866,0.8981
0044_00.png,0044.png,32.6953,0.9434
0045_00.png,0045.png,32.9696,0.946
0046_00.png,0046.png,32.0433,0.8466
0047_00.png,0047.png,32.2282,0.9107
0048_00.png,0048.png,25.9918,0.7659
0049_00.png,0049.png,33.2105,0.8814
