# NDR-Restore GTAV-NightRain-set3 Evaluation Results,,,
,,,
# Model Information,,,
Model,NDR-Restore,,
Test Dataset,GTAV-NightRain-set3,,
,,,
# Overall Metrics,,,
Total Images,186,,
Average PSNR (dB),29.1151,,
Average SSIM,0.8394,,
,,,
# Per-Image Results,,,
Image Name,GT Name,PSNR (dB),SSIM
0000_00.png,0000.png,32.0068,0.7912
0001_00.png,0001.png,31.2757,0.7036
0002_00.png,0002.png,30.7679,0.8954
0003_00.png,0003.png,31.3051,0.7408
0004_00.png,0004.png,32.9882,0.8469
0005_00.png,0005.png,30.8786,0.9141
0006_00.png,0006.png,32.376,0.8235
0007_00.png,0007.png,33.35,0.8117
0008_00.png,0008.png,32.0955,0.8443
0009_00.png,0009.png,31.6979,0.9043
0010_00.png,0010.png,32.6758,0.8257
0011_00.png,0011.png,31.7965,0.7295
0012_00.png,0012.png,30.9896,0.8537
0013_00.png,0013.png,29.3192,0.78
0014_00.png,0014.png,29.3576,0.8602
0015_00.png,0015.png,31.3677,0.7875
0016_00.png,0016.png,26.2249,0.7691
0017_00.png,0017.png,29.959,0.8257
0018_00.png,0018.png,28.0763,0.7928
0019_00.png,0019.png,28.164,0.7537
0020_00.png,0020.png,28.9786,0.8077
0021_00.png,0021.png,29.1872,0.8806
0022_00.png,0022.png,28.9489,0.7695
0023_00.png,0023.png,25.9469,0.7731
0024_00.png,0024.png,29.8087,0.8663
0025_00.png,0025.png,25.2993,0.8454
0026_00.png,0026.png,22.0643,0.665
0027_00.png,0027.png,26.7574,0.8256
0028_00.png,0028.png,30.9972,0.803
0029_00.png,0029.png,34.7314,0.9507
0030_00.png,0030.png,26.2266,0.8551
0031_00.png,0031.png,31.466,0.9116
0032_00.png,0032.png,29.1984,0.9032
0033_00.png,0033.png,29.0502,0.8661
0034_00.png,0034.png,26.9301,0.8306
0035_00.png,0035.png,27.4794,0.8306
0036_00.png,0036.png,28.5797,0.83
0037_00.png,0037.png,27.662,0.8758
0038_00.png,0038.png,29.5235,0.8876
0039_00.png,0039.png,25.019,0.8758
0040_00.png,0040.png,31.1207,0.8988
0041_00.png,0041.png,28.9634,0.8623
0042_00.png,0042.png,28.8133,0.8921
0043_00.png,0043.png,31.2918,0.8035
0044_00.png,0044.png,26.0878,0.869
0045_00.png,0045.png,27.2138,0.8228
0046_00.png,0046.png,28.8493,0.913
0047_00.png,0047.png,30.1576,0.8804
0048_00.png,0048.png,30.3724,0.8392
0049_00.png,0049.png,30.034,0.9058
0050_00.png,0050.png,29.1809,0.8075
0051_00.png,0051.png,30.6739,0.8403
0052_00.png,0052.png,30.4989,0.6353
0053_00.png,0053.png,29.0382,0.7541
0054_00.png,0054.png,31.4594,0.8874
0055_00.png,0055.png,29.2849,0.794
0056_00.png,0056.png,29.5147,0.8625
0057_00.png,0057.png,30.4992,0.7244
0058_00.png,0058.png,30.4197,0.8355
