# NDR-Restore RainDS_real Evaluation Results,,,,
,,,,
# Model Information,,,,
Model,NDR-Restore,,,
Test Dataset,RainDS_real,,,
,,,,
# Overall Metrics Summary,,,,
Rain Type,Image Count,Average PSNR (dB),Average SSIM,
Raindrop,98,19.6607,0.7084,
Rainstreak,98,24.1317,0.7637,
Rainstreak Raindrop,98,18.5635,0.6385,
Overall,294,20.7853,0.7035,
,,,,
# Per-Image Results,,,,
Image Name,GT Name,Rain Type,PSNR (dB),SSIM
157.png,157.png,rainstreak,22.5386,0.7745
158.png,158.png,rainstreak,19.9353,0.7792
163.png,163.png,rainstreak,28.812,0.9251
164.png,164.png,rainstreak,21.3857,0.822
169.png,169.png,rainstreak,22.4933,0.7846
170.png,170.png,rainstreak,18.7444,0.6739
175.png,175.png,rainstreak,24.8136,0.7664
176.png,176.png,rainstreak,24.0402,0.8624
181.png,181.png,rainstreak,22.6291,0.7902
182.png,182.png,rainstreak,25.3846,0.8105
187.png,187.png,rainstreak,21.004,0.7415
188.png,188.png,rainstreak,22.5546,0.8094
19.png,19.png,rainstreak,16.7576,0.2773
193.png,193.png,rainstreak,21.8816,0.7431
194.png,194.png,rainstreak,28.5446,0.8771
199.png,199.png,rainstreak,28.4604,0.8385
2.png,2.png,rainstreak,17.2483,0.6763
20.png,20.png,rainstreak,17.6523,0.578
200.png,200.png,rainstreak,28.8698,0.8532
205.png,205.png,rainstreak,25.1786,0.7919
206.png,206.png,rainstreak,27.1025,0.8185
207.png,207.png,rainstreak,25.5351,0.8538
208.png,208.png,rainstreak,26.5832,0.848
209.png,209.png,rainstreak,25.2422,0.844
210.png,210.png,rainstreak,24.8927,0.8661
211.png,211.png,rainstreak,26.732,0.8257
212.png,212.png,rainstreak,27.8951,0.8616
213.png,213.png,rainstreak,29.717,0.8302
214.png,214.png,rainstreak,21.2395,0.6473
215.png,215.png,rainstreak,26.8801,0.7912
216.png,216.png,rainstreak,23.7816,0.7864
217.png,217.png,rainstreak,24.0223,0.7108
218.png,218.png,rainstreak,28.7497,0.8159
25.png,25.png,rainstreak,19.5278,0.6195
26.png,26.png,rainstreak,20.7055,0.6864
30.png,30.png,rainstreak,17.6495,0.4154
32.png,32.png,rainstreak,20.0457,0.7131
33.png,33.png,rainstreak,18.186,0.6244
34.png,34.png,rainstreak,24.3695,0.7589
35.png,35.png,rainstreak,26.0474,0.7799
37.png,37.png,rainstreak,16.9514,0.619
41.png,41.png,rainstreak,23.2414,0.8082
42.png,42.png,rainstreak,17.1044,0.6848
43.png,43.png,rainstreak,21.0344,0.8152
44.png,44.png,rainstreak,26.5378,0.8522
47.png,47.png,rainstreak,21.7213,0.6592
50.png,50.png,rainstreak,23.899,0.8213
51.png,51.png,rainstreak,23.091,0.7469
52.png,52.png,rainstreak,24.6068,0.7938
53.png,53.png,rainstreak,20.4808,0.764
58.png,58.png,rainstreak,22.8238,0.6622
59.png,59.png,rainstreak,26.0007,0.7636
6.png,6.png,rainstreak,22.8655,0.7943
64.png,64.png,rainstreak,26.5663,0.7531
65.png,65.png,rainstreak,25.2907,0.7824
66.png,66.png,rainstreak,24.9375,0.7869
7.png,7.png,rainstreak,20.71,0.7085
71.png,71.png,rainstreak,25.8668,0.8193
72.png,72.png,rainstreak,25.9759,0.7906
77.png,77.png,rainstreak,21.28,0.6827
78.png,78.png,rainstreak,23.053,0.7264
8.png,8.png,rainstreak,22.3736,0.7853
83.png,83.png,rainstreak,24.0908,0.682
84.png,84.png,rainstreak,23.1687,0.6727
89.png,89.png,rainstreak,20.8977,0.5871
90.png,90.png,rainstreak,20.5282,0.7204
95.png,95.png,rainstreak,19.7393,0.7274
96.png,96.png,rainstreak,25.0354,0.793
101.png,101.png,rainstreak_raindrop,24.6179,0.7333
102.png,102.png,rainstreak_raindrop,24.6931,0.7289
107.png,107.png,rainstreak_raindrop,22.679,0.7867
108.png,108.png,rainstreak_raindrop,20.9103,0.7669
113.png,113.png,rainstreak_raindrop,21.62,0.7937
114.png,114.png,rainstreak_raindrop,19.7102,0.7958
115.png,115.png,rainstreak_raindrop,24.1189,0.6969
118.png,118.png,rainstreak_raindrop,14.861,0.5161
121.png,121.png,rainstreak_raindrop,14.8472,0.6543
122.png,122.png,rainstreak_raindrop,18.1058,0.6473
123.png,123.png,rainstreak_raindrop,25.5851,0.7964
125.png,125.png,rainstreak_raindrop,18.566,0.6699
126.png,126.png,rainstreak_raindrop,23.4909,0.6639
127.png,127.png,rainstreak_raindrop,19.9882,0.7199
13.png,13.png,rainstreak_raindrop,19.1754,0.734
131.png,131.png,rainstreak_raindrop,21.5023,0.767
132.png,132.png,rainstreak_raindrop,17.2984,0.6536
137.png,137.png,rainstreak_raindrop,20.5048,0.7003
138.png,138.png,rainstreak_raindrop,22.8928,0.777
139.png,139.png,rainstreak_raindrop,23.337,0.6507
14.png,14.png,rainstreak_raindrop,17.6094,0.642
144.png,144.png,rainstreak_raindrop,15.6524,0.5545
145.png,145.png,rainstreak_raindrop,16.7336,0.7125
146.png,146.png,rainstreak_raindrop,15.9742,0.6754
148.png,148.png,rainstreak_raindrop,16.0211,0.5947
149.png,149.png,rainstreak_raindrop,17.1966,0.5325
150.png,150.png,rainstreak_raindrop,22.2633,0.7759
151.png,151.png,rainstreak_raindrop,18.3966,0.6832
152.png,152.png,rainstreak_raindrop,22.0219,0.7368
155.png,155.png,rainstreak_raindrop,18.7499,0.6393
157.png,157.png,rainstreak_raindrop,18.5199,0.6042
158.png,158.png,rainstreak_raindrop,17.1303,0.6843
163.png,163.png,rainstreak_raindrop,20.7301,0.7766
164.png,164.png,rainstreak_raindrop,18.652,0.7377
169.png,169.png,rainstreak_raindrop,19.4614,0.6513
170.png,170.png,rainstreak_raindrop,15.5186,0.5783
175.png,175.png,rainstreak_raindrop,19.2778,0.6999
176.png,176.png,rainstreak_raindrop,19.7102,0.6905
181.png,181.png,rainstreak_raindrop,18.3718,0.6095
182.png,182.png,rainstreak_raindrop,20.757,0.7105
187.png,187.png,rainstreak_raindrop,15.2132,0.5664
188.png,188.png,rainstreak_raindrop,17.131,0.4345
19.png,19.png,rainstreak_raindrop,14.7431,0.5394
193.png,193.png,rainstreak_raindrop,16.4239,0.5904
194.png,194.png,rainstreak_raindrop,19.9539,0.7015
199.png,199.png,rainstreak_raindrop,18.4888,0.6572
2.png,2.png,rainstreak_raindrop,16.0752,0.3165
20.png,20.png,rainstreak_raindrop,14.8769,0.4678
200.png,200.png,rainstreak_raindrop,21.3411,0.6647
205.png,205.png,rainstreak_raindrop,16.3762,0.5858
206.png,206.png,rainstreak_raindrop,18.8821,0.6329
207.png,207.png,rainstreak_raindrop,18.8521,0.7293
208.png,208.png,rainstreak_raindrop,20.4025,0.7431
