# RLP Evaluation Results - RainDS_syn,,,
# Model:,Uformer_T_RLP_RPIM,,
# Date:,22-02-2026 04:56,,
,,,
# Summary,,,
Total Images,600,,
Failed,0,,
Average PSNR (dB),20.2807,,
Average SSIM,0.6775,,
,,,
# Per-Image Results,,,
Image Name,GT Name,PSNR (dB),SSIM
raindrop_pie-rd-580.png,pie-norain-580.png,19.8008,0.7021
raindrop_pie-rd-586.png,pie-norain-586.png,20.4539,0.7056
raindrop_pie-rd-594.png,pie-norain-594.png,20.2608,0.7208
raindrop_pie-rd-598.png,pie-norain-598.png,20.0059,0.7135
raindrop_pie-rd-599.png,pie-norain-599.png,20.0275,0.7146
raindrop_pie-rd-64.png,pie-norain-64.png,20.9138,0.7731
raindrop_pie-rd-72.png,pie-norain-72.png,19.9106,0.7313
raindrop_pie-rd-77.png,pie-norain-77.png,20.304,0.7509
raindrop_pie-rd-79.png,pie-norain-79.png,21.8093,0.7661
raindrop_pie-rd-8.png,pie-norain-8.png,21.111,0.7604
raindrop_pie-rd-83.png,pie-norain-83.png,20.784,0.7616
raindrop_pie-rd-84.png,pie-norain-84.png,20.8474,0.7637
raindrop_pie-rd-98.png,pie-norain-98.png,19.7078,0.7563
raindrop_rd-108.png,norain-108.png,20.7383,0.6935
raindrop_rd-153.png,norain-153.png,19.7038,0.7903
raindrop_rd-16.png,norain-16.png,20.6583,0.7441
raindrop_rd-160.png,norain-160.png,19.7621,0.7926
raindrop_rd-161.png,norain-161.png,19.7344,0.7935
raindrop_rd-162.png,norain-162.png,19.6919,0.7928
raindrop_rd-163.png,norain-163.png,19.7012,0.7904
raindrop_rd-164.png,norain-164.png,19.3701,0.787
raindrop_rd-165.png,norain-165.png,19.5892,0.7861
raindrop_rd-166.png,norain-166.png,19.7638,0.7913
raindrop_rd-167.png,norain-167.png,19.5041,0.7956
raindrop_rd-168.png,norain-168.png,19.3692,0.796
raindrop_rd-169.png,norain-169.png,19.3649,0.7939
raindrop_rd-180.png,norain-180.png,19.5065,0.7933
raindrop_rd-2.png,norain-2.png,24.9998,0.8354
raindrop_rd-203.png,norain-203.png,19.3281,0.7669
raindrop_rd-237.png,norain-237.png,18.804,0.7643
raindrop_rd-256.png,norain-256.png,20.7996,0.7947
raindrop_rd-260.png,norain-260.png,18.8094,0.8111
raindrop_rd-261.png,norain-261.png,18.9436,0.7997
raindrop_rd-262.png,norain-262.png,20.0744,0.7884
raindrop_rd-263.png,norain-263.png,19.5679,0.7862
raindrop_rd-264.png,norain-264.png,20.4397,0.7936
raindrop_rd-265.png,norain-265.png,21.1514,0.8009
raindrop_rd-266.png,norain-266.png,20.9428,0.7957
raindrop_rd-267.png,norain-267.png,21.1353,0.795
raindrop_rd-268.png,norain-268.png,20.2818,0.7798
raindrop_rd-269.png,norain-269.png,19.5803,0.7734
