# RLP Evaluation Results - GTAV-NightRain set1,,
# Model:,Ufomer_T_RLP_RPIM,
# Date:,22-02-2026 03:32,
,,
# Summary,,
Total Images,50,
Failed,0,
Average PSNR (dB),28.8173,
Average SSIM,0.9044,
,,
# Per-Image Results,,
Image Name,PSNR (dB),SSIM
0000_00.png,31.9395,0.8714
0001_00.png,33.7602,0.8849
0002_00.png,26.742,0.9068
0003_00.png,25.8356,0.9025
0004_00.png,28.2328,0.9131
0005_00.png,23.9892,0.8914
0006_00.png,26.8308,0.8975
0007_00.png,25.1964,0.8937
0008_00.png,27.3047,0.8932
0009_00.png,29.3882,0.9325
0010_00.png,25.0724,0.8305
0011_00.png,27.2475,0.8612
0012_00.png,30.6685,0.9378
0013_00.png,26.8186,0.8646
0014_00.png,32.0883,0.9226
0015_00.png,28.1312,0.916
0016_00.png,25.952,0.8876
0017_00.png,24.778,0.8655
0018_00.png,25.9935,0.882
0019_00.png,28.7537,0.8996
0020_00.png,29.7617,0.9068
0021_00.png,29.0708,0.9095
0022_00.png,27.7972,0.8749
0023_00.png,26.1287,0.8856
0024_00.png,29.828,0.9158
0025_00.png,29.6597,0.9179
0026_00.png,27.2597,0.8918
0027_00.png,28.0679,0.8904
0028_00.png,27.3974,0.884
0029_00.png,30.2842,0.9062
0030_00.png,31.9084,0.9399
0031_00.png,26.2568,0.8673
0032_00.png,29.1544,0.9143
0033_00.png,29.688,0.9042
0034_00.png,31.5244,0.9208
0035_00.png,31.8109,0.921
0036_00.png,29.6278,0.919
0037_00.png,29.5742,0.9136
0038_00.png,29.866,0.9162
0039_00.png,31.2276,0.9322
0040_00.png,32.3249,0.9432
0041_00.png,33.8234,0.948
0042_00.png,26.2379,0.918
0043_00.png,26.2657,0.8902
0044_00.png,27.2885,0.869
0045_00.png,28.4897,0.9067
0046_00.png,31.1983,0.9249
0047_00.png,28.2514,0.9153
0048_00.png,33.5372,0.9656
0049_00.png,32.8287,0.9536
